isie_code,governorate_ar,delegation_ar,governorate_name,delegation_name,id_delegation,id_delegation_salb_un,region_name,lat,lon,stations,match_method,match_score,match_margin,corroboration
0301,أريانة,أريانة المدينة,Ariana,L’Ariana Ville,1251,TUN024004,Nord Est,36.8721737130508,10.1578581381956,95,skeleton,0.8000,0.3000,0.8000
0302,أريانة,المنيهلة,Ariana,El Mnihla,1257,TUN024002,Nord Est,36.8557668448616,10.1270259539948,57,skeleton,1.0000,0.6667,1.0000
0303,أريانة,حي التضامن,Ariana,Cité Ettadhamen,1256,TUN024001,Nord Est,36.830157383384,10.1110215778486,56,skeleton,1.0000,0.5556,1.0000
0304,أريانة,رواد,Ariana,Raoued,1253,TUN024005,Nord Est,36.9537448086801,10.1893273510659,69,skeleton,1.0000,0.7143,1.0000
0305,أريانة,سكرة,Ariana,Soukra,1252,TUN024007,Nord Est,36.8786321857922,10.2651298924457,80,skeleton,0.8571,0.5238,1.0000
0306,أريانة,سيدي ثابت,Ariana,Sidi Thabet,1255,TUN024006,Nord Est,36.9107366029308,10.0465997742857,22,skeleton,1.0000,0.7500,1.0000
0307,أريانة,قلعة الأندلس,Ariana,Kalaât El Andalous,1254,TUN024003,Nord Est,37.061832,10.119917,22,skeleton,0.8571,0.6349,1.0000
0201,بن عروس,الزهراء,Ben Arous,Ezzahra,1357,TUN003004,Nord Est,36.7448149493916,10.3078320687416,28,skeleton,1.0000,0.6667,1.0000
0202,بن عروس,المحمدية,Ben Arous,Mohamedia,1360,TUN003010,Nord Est,36.6757103421392,10.1547648309983,51,skeleton,1.0000,0.5000,1.0000
0203,بن عروس,المدينة الجديدة,Ben Arous,La Nouvelle Medina,1352,TUN003008,Nord Est,36.7408202096405,10.2406208527251,44,skeleton,1.0000,0.5556,
0204,بن عروس,المروج,Ben Arous,El Mourouj,1353,TUN003003,Nord Est,36.7330145541323,10.2036295420465,72,skeleton,0.8889,0.3889,1.0000
0205,بن عروس,بن عروس,Ben Arous,Ben Arous,1351,TUN003001,Nord Est,36.7521600050412,10.2179868169192,28,skeleton,1.0000,0.5000,1.0000
0206,بن عروس,بومهل البساتين,Ben Arous,Bou Mhel El Bassatine,1356,TUN003002,Nord Est,36.7246231959162,10.3009396148386,28,skeleton,1.0000,0.5714,1.0000
0207,بن عروس,حمام الأنف,Ben Arous,Hammam Lif,1354,TUN003007,Nord Est,36.7299510867986,10.3360385926413,35,skeleton,0.7500,0.2500,1.0000
0208,بن عروس,حمام الشط,Ben Arous,Hammam Chôtt,1355,TUN003006,Nord Est,36.7138363422459,10.3690903367265,25,skeleton,1.0000,0.5000,1.0000
0209,بن عروس,رادس,Ben Arous,Radès,1358,TUN003012,Nord Est,36.771457,10.280813,44,skeleton,1.0000,0.5000,1.0000
0210,بن عروس,فوشانة,Ben Arous,Fouchana,1361,TUN003005,Nord Est,36.7090240890322,10.17325132984,55,skeleton,1.0000,0.6923,1.0000
0211,بن عروس,مرناق,Ben Arous,Mornag,1362,TUN003011,Nord Est,36.6800814918632,10.2891569566655,52,skeleton,1.0000,0.2500,1.0000
0212,بن عروس,مقرين,Ben Arous,Megrine,1359,TUN003009,Nord Est,36.7730829265536,10.2323868463415,23,skeleton,1.0000,0.2500,1.0000
0802,بنزرت,أوتيك,Bizerte,Utique,1760,TUN004013,Nord Est,37.0395288632834,9.94083059226836,19,skeleton,0.8000,0.4667,1.0000
0801,بنزرت,العالية,Bizerte,El Alia,1763,TUN004004,Nord Est,37.1679671549226,9.98895762351968,24,skeleton,1.0000,0.5000,0.6667
0803,بنزرت,بنزرت الجنوبية,Bizerte,Bizerte Sud,1753,TUN004002,Nord Est,37.2562725367819,9.66403221022733,42,skeleton,0.8889,0.4444,1.0000
0804,بنزرت,بنزرت الشمالية,Bizerte,Bizerte Nord,1751,TUN004001,Nord Est,37.3072102992342,9.82992938941765,74,skeleton,0.8889,0.3556,1.0000
0805,بنزرت,تينجة,Bizerte,Tinja,1759,TUN004012,Nord Est,37.160191,9.764415,17,skeleton,1.0000,0.6000,1.0000
