tribe,surname_ar,surname_alt_ar,latin,confidence,drawn,derivation,note
Hammama,همامي,,Hammami,high,1,nisba of the tribe name,"Steppe confederation; Hamema on the 1853 sheet, Hammama (Tribu) on the 1881 sheet."
Zlass,جلاصي,,Jlassi,high,1,nisba of the tribe name,"Djelas on the 1853 sheet, Zlaas on the 1881 sheet; the Arabic is جلاص and the nisba جلاصي."
Ouled Ayar,عياري,,Ayari,high,1,nisba of the eponym,"O. Ayar (Tribu) on the 1881 sheet."
Frechiche,فرشيشي,,Ferchichi,high,1,nisba of the tribe name,"Three Frachiche names on the 1853 sheet, Frechiche (Tribu) on the 1881 sheet."
Mejers,ماجري,,Mejri,high,1,nisba of the tribe name,"MADJER along an arc from Thala to Sbeitla on the 1853 sheet and on Martel's."
M'Talith,مثلوثي,,Methlouthi,high,1,nisba of the tribe name,"The 1853 sheet maps five fractions separately; every later sheet prints the parent. The surname carries the parent."
Drid,دريدي,,Dridi,high,1,nisba of the tribe name,
Riah,رياحي,,Riahi,high,1,nisba of the tribe name,"The three sheets put the name 119 km apart: the Mogods in 1853, Medjez el Bab in 1881, Pont du Fahs on Martel's. The merged ellipse joins them."
Nefza,نفزي,,Nefzi,high,1,nisba of the tribe name,"Distinct from the Nefzaoua of the Djerid."
Mehadhba,مهذبي,,Mhedhbi,high,1,nisba of the tribe name,
Souassi,سويسي,سواسي,Souissi,high,1,singular of the tribe name,"Souassi is the plural; a member is a Souissi. The plural form سواسي is also borne as a surname by 397 voters and is pooled in."
Neffat,نفاتي,,Neffati,high,1,nisba of the tribe name,
Ouerghemma,ورغمي,,Werghemmi,high,1,nisba of the confederation name,"A confederation printed as one label. The only name south of Sfax on the 1881 sheet."
Trabelsi,طرابلسي,,Trabelsi,medium,1,nisba of the tribe name,"The tribe was named for its Tripolitan origin and the surname means Tripolitan too, so it is also borne by unrelated migrants from Tripoli. The commonest family name on this list."
Ouled Aoun,عوني,,Aouni,medium,1,nisba of the eponym,"Aoun is also a given name, so not every Aouni descends from the tribe."
Kroumirs,خميري,,Khemiri,high,1,nisba of the tribe name,"Khemir on the 1853 sheet; Territoire des Kroumirs on the 1881 sheet."
Ouchtata,وشتاتي,,Ouechtati,high,1,nisba of the tribe name,
Hakim,حكيمي,,Hkimi,medium,1,nisba of the tribe name,"Hakim is also a given name; the surname's home in Jendouba supports the tribal reading."
Ouargha,ورغي,,Ourghi,high,1,nisba of the tribe name,
Zeghalma,زغلامي,,Zghalmi,high,1,nisba of the tribe name,
Ouartan,ورتاني,,Ouertani,high,1,nisba of the tribe name,
Khememsa,خماسي,,Khemassi,medium,1,singular of the tribe name,"Khememsa is a plural; the singular nisba is Khemassi. The surname's home in Le Kef supports the reading."
