tribe,surname,surname_alt,latin,confidence,derivation,sheets,printed_as,ground_lon,ground_lat,ground_area_sqkm,ground_share_in_tunisia_pct,ground_flagged,voters_mapped,imadas_present,inside_pct,near_pct,beyond_pct,electorate_inside,one_in,prominent_imadas_inside,prominent_imadas_outside,centroid_lon,centroid_lat,displacement_km,direction,median_km_from_ground,top_destination,top_destination_pct,dot_value,dots_drawn,figure,note
Ouled Sidi Abid,عبيدي,,Abidi,medium,nisba of the eponym,1881 Lasailly,Ouled Sidi Abid,7.934,35.268,1587,0.0,0,61869,1513,0.0,0.0,100.0,0,,0,57,9.5681,36.2029,182.1,NE,169.9,Jendouba,17.6,50,1163,maps/tribes/abidi_mobility.pdf,"The commonest family name in Tunisia, and its home is Jendouba, across the frontier from where the 1881 sheet prints the tribe. Abidi can also derive from the given name Abid."
Trabelsi,طرابلسي,,Trabelsi,medium,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Trabelsi | Trabelsia,9.783,36.817,1397,100.0,0,57704,1321,9.2,37.7,53.1,126010,24,9,20,10.2336,36.2564,74.5,SE,26.6,Sfax,15.5,25,2242,maps/tribes/trabelsi_mobility.pdf,"The tribe was named for its Tripolitan origin and the surname means Tripolitan too, so it is also borne by unrelated migrants from Tripoli. The commonest family name on this list."
Hammama,همامي,,Hammami,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),HAMAMA | Hamema | Hammama,9.354,34.782,2600,100.0,0,53065,1382,0.7,1.9,97.5,102537,288,0,49,9.9526,36.4832,196.0,N,196.4,Manubah,16.7,25,2049,maps/tribes/hammami_mobility.pdf,"Steppe confederation; Hamema on the 1853 sheet, Hammama (Tribu) on the 1881 sheet."
Drid,دريدي,,Dridi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),DRID | Drid | Drid et autres Arabes melés,9.629,36.484,758,100.0,0,51822,1249,0.8,27.2,72.0,22522,57,0,31,10.0151,36.661,40.5,NE,34.0,Bizerte,19.5,25,1991,maps/tribes/dridi_mobility.pdf,
Mejers,ماجري,,Mejri,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),MADJER | Madjer | Mejers,8.874,35.542,1326,100.0,0,42481,1318,0.3,2.8,96.9,31874,257,1,24,9.9158,36.5772,149.1,NE,167.0,Tunis,18.1,20,2072,maps/tribes/mejri_mobility.pdf,MADJER along an arc from Thala to Sbeitla on the 1853 sheet and on Martel's.
Ouled Ayar,عياري,,Ayari,high,nisba of the eponym,1881 Lasailly | 1881 Martel (1965),O. Ayar | OLED AYAR,9.105,36.062,827,100.0,0,39888,1199,1.1,5.1,93.8,19299,44,3,10,9.9465,36.6164,98.6,NE,96.0,Tunis,28.0,20,1944,maps/tribes/ayari_mobility.pdf,O. Ayar (Tribu) on the 1881 sheet.
Zlass,جلاصي,,Jlassi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),Djelas | Djelas Senrassin | ZLASS | Zlaas,9.772,35.668,10285,100.0,0,38608,1216,4.8,6.2,89.0,624602,338,0,20,10.1454,36.5444,102.8,N,74.9,Tunis,19.6,20,1906,maps/tribes/jlassi_mobility.pdf,"Djelas on the 1853 sheet, Zlaas on the 1881 sheet; the Arabic is جلاص and the nisba جلاصي."
Riah,رياحي,,Riahi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),O. Riah | RIAH | Riah,9.558,36.591,5997,100.0,1,37822,1094,26.7,26.4,46.9,313870,31,27,9,9.9968,36.5703,40.3,E,23.8,Tunis,12.0,20,1852,maps/tribes/riahi_mobility.pdf,"The three sheets put the name 119 km apart: the Mogods in 1853, Medjez el Bab in 1881, Pont du Fahs on Martel's. The merged ellipse joins them."
Frechiche,فرشيشي,,Ferchichi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),FRAICHICH | Frachiche | Frachiche Ouazaz | Frachiche Oulad Ali | Frechiche,8.546,35.33,5349,75.2,0,22466,1073,1.9,1.1,97.0,205596,481,0,17,9.8483,36.5618,181.2,NE,176.8,Tunis,20.3,10,2232,maps/tribes/ferchichi_mobility.pdf,"Three Frachiche names on the 1853 sheet, Frechiche (Tribu) on the 1881 sheet."
Ouled Aoun,عوني,,Aouni,medium,nisba of the eponym,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),O. Aoun | OLED AOUN | Oulad Aoun,9.45,36.115,1079,100.0,0,20541,1129,2.5,1.4,96.2,59511,118,1,10,10.044,36.0344,55.2,E,85.3,Tunis,17.4,10,2028,maps/tribes/aouni_mobility.pdf,"Aoun is also a given name, so not every Aouni descends from the tribe."
Hamarna,حمروني,,Hamrouni,medium,nisba of the tribe name,1853 Pellissier,Hamerna,10.182,33.417,1696,100.0,0,17013,1138,0.9,2.5,96.6,56878,362,0,12,10.3045,35.6979,252.5,N,245.4,Sfax,17.1,10,1691,maps/tribes/hamrouni_mobility.pdf,Hamarna is the plural of Hamrouni.
Nefza,نفزي,,Nefzi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),NEFZA | Nefsa | Nefza,9.07,36.96,840,100.0,1,17009,744,3.0,14.7,82.3,63486,124,0,12,9.8121,36.8073,70.1,E,58.7,Manubah,25.1,10,1692,maps/tribes/nefzi_mobility.pdf,Distinct from the Nefzaoua of the Djerid.
Kroumirs,خميري,,Khemiri,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),KHROUMIR | Khemir | Kroumirs,8.77,36.822,266,100.0,0,16702,939,1.1,19.8,79.1,28098,154,0,10,9.6211,36.4979,85.9,SE,110.1,Tunis,14.7,10,1647,maps/tribes/khemiri_mobility.pdf,Khemir on the 1853 sheet; Territoire des Kroumirs on the 1881 sheet.
Charen,شارني,,Charni,medium,nisba of the name,1853 Pellissier | 1881 Lasailly,Charen,8.468,36.149,380,100.0,1,16700,802,2.6,43.2,54.2,9503,22,1,20,9.3513,36.3868,85.2,E,38.5,Tunis,16.2,10,1652,maps/tribes/charni_mobility.pdf,Printed without a marker on both sheets; may be a place name.
Djendouba,جندوبي,,Jendoubi,medium,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Djendouba,8.956,36.533,143,100.0,1,16383,877,0.4,6.4,93.3,14171,236,0,6,9.9673,36.6982,94.6,E,99.6,Tunis,22.5,10,1614,maps/tribes/jendoubi_mobility.pdf,"Printed as a tribe on the 1881 sheet before the name settled onto the town, so the surname may also be a toponymic nisba."
Souassi,سويسي,سواسي,Souissi,high,singular of the tribe name,1881 Lasailly | 1881 Martel (1965),SOUASSI | Souassi,10.338,35.845,1536,100.0,1,16159,1073,0.8,9.0,90.1,80843,603,0,9,10.1715,35.6757,24.2,SW,65.2,Sfax,14.1,10,1600,maps/tribes/souissi_mobility.pdf,Souassi is the plural; a member is a Souissi. The plural form سواسي is also borne as a surname by 397 voters and is pooled in.
M'Talith,مثلوثي,,Methlouthi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),M'Talith | METHELITH | Methelith,10.364,35.13,1691,100.0,1,15209,891,0.2,3.5,96.4,48377,1861,0,6,10.3421,36.5093,152.5,N,143.8,Nabeul,22.7,10,1513,maps/tribes/methlouthi_mobility.pdf,The 1853 sheet maps five fractions separately; every later sheet prints the parent. The surname carries the parent.
