community_id,community_label,surname_count,total_voters,top_surnames
1,Sahel Coastal Kinship Network (الساحل: سوسة، المنستير، المهدية),131,144106,"الحامدي, بوعلي, بن حموده, يحي, يوسف"
2,Sfaxian Lineages & Commercial Clans (صفاقس),126,213972,"العامري, كمون, بوعزيز, الزواري, المرابط"
3,مدنين Regional Clan Cluster,107,197697,"خليفي, المناعي, الخليفي, الفطناسي, عوني"
4,Central-West High Steppes (القصرين وسيدي بوزيد - فراشيش وهمامة),97,159377,"مسعودي, خضراوي, رحيمي, الخضراوي, الزياني"
5,Southern Saharan & Maritime Clans (الجنوب - جربة وبني زيد ونفزاوة),96,141402,"عطيه, بنسعيد, حمزه, بنعمار, عون"
6,Bizerte & Mogods Northern Lineages (بنزرت والمقاعد),92,228693,"الجبالي, البجاوي, الشابي, النفزي, العويني"
7,Kairouan & Jlass Tribal Heartland (القيروان - جلاص),89,105164,"عماري, بوراوي, شابي, قيزاني, النوالي"
8,Northwest Medjerda & Tellian Clans (الشمال الغربي - عمدون وعيار),87,149737,"العمدوني, الماكني, رمضاني, البوغانمي, عثماني"
9,المنستير Regional Clan Cluster,84,129437,"العياري, بن يوسف, عياري, الزين, دربال"
10,Northwest Medjerda & Tellian Clans (الشمال الغربي - عمدون وعيار),82,175925,"العبيدي, عبيدي, العلوي, الكوكي, اليوسفي"
11,تطاوين Regional Clan Cluster,82,80218,"العقربي, بلحاج, بنحميده, عويني, الشيباني"
12,سيدي بوزيد Regional Clan Cluster,82,115403,"عامري, شعباني, جلالي, الخياري, هلالي"
13,جندوبة Regional Clan Cluster,82,104475,"غربي, سعيداني, سلامي, الحسناوي, البلطي"
14,الكاف Regional Clan Cluster,81,132243,"العوني, الرزقي, رزقي, الخماسي, بنمسعود"
15,مدنين Regional Clan Cluster,79,74060,"الزيادي, العميري, اللطيف, بن يونس, الصويعي"
16,Southern Saharan & Maritime Clans (الجنوب - جربة وبني زيد ونفزاوة),79,80137,"يحياوي, بوزيدي, ضيف الله, الثابت, العكروت"
17,القصرين Regional Clan Cluster,78,81374,"السلامي, السويسي, الزيتوني, حسناوي, زيتوني"
18,Northwest Medjerda & Tellian Clans (الشمال الغربي - عمدون وعيار),77,126273,"سلطاني, غزواني, الورغي, ورغي, السلطاني"
19,Sahel Coastal Kinship Network (الساحل: سوسة، المنستير، المهدية),72,54555,"العريبي, بن حليمه, بن الصغير, الديماسي, الغضاب"
20,Southern Saharan & Maritime Clans (الجنوب - جربة وبني زيد ونفزاوة),70,66931,"الهيشري, الغول, الجراي, الفريقي, الشبعان"
21,Sahel Coastal Kinship Network (الساحل: سوسة، المنستير، المهدية),68,89507,"سويسي, بوبكر, ابراهم, هلال, بوسته"
22,Central-West High Steppes (القصرين وسيدي بوزيد - فراشيش وهمامة),67,306912,"بن محمد, بن علي, بن صالح, بن عمر, بن احمد"
23,قفصة Regional Clan Cluster,67,99725,"المثلوثي, عباسي, الصالحي, ابراهمي, رحموني"
24,صفاقس Regional Clan Cluster,67,56996,"شقرون, خليف, الشلي, الرحموني, دحمان"
25,Sahel Coastal Kinship Network (الساحل: سوسة، المنستير، المهدية),65,55343,"الطياري, شبيل, بن سلامه, الفقيه, بيوض"
